id,driver,lane,track,priority,wave,partial_groups,primary_blockers,required_gates,status
S8-001,ODBC,tracks/alpha/drivers/odbc,alpha,P0,W4,META,"Complete full metadata family parity (catalog/key/privilege/type) and richer DDL editor fields","ctest scratchbird_odbc_tests + metadata conformance suite + runtime stack integration",OPEN
S8-002,CPP,tracks/beta/drivers/cpp,beta,P0,W4,"CONN;TXN;EXEC;META;TYPE;ERR;RES","Implement real named-pipe/embedded transport, savepoint and advanced exec parity, metadata APIs, type fidelity, SQLSTATE mapping tests, and resource lifecycle hardening","scratchbird_client_tests (expanded) + runtime stack integration + conformance harness",OPEN
S8-003,DOTNET,tracks/alpha/drivers/dotnet,alpha,P0,W2,"TXN;EXEC;META;TYPE","Close isolation parity, broaden command surface parity, expand GetSchema families/restrictions, and deepen type fidelity tests","dotnet test full lane + runtime stack integration + conformance suite",OPEN
S8-004,GO,tracks/alpha/drivers/go,alpha,P0,W1,"CONN;TXN;EXEC;META;TYPE;ERR;RES","Expose savepoint APIs, add NextResultSet parity, add metadata execution APIs, complete SQLSTATE mapping tests, and strengthen resilience lifecycle tests","go test ./... + runtime stack integration + conformance suite",OPEN
S8-005,RUST,tracks/alpha/drivers/rust,alpha,P0,W2,"CONN;TXN;EXEC;META","Broaden live auth/proxy parity, complete transaction lifecycle integration, close advanced exec parity, and add executable metadata APIs","cargo test + runtime stack integration + conformance suite",OPEN
S8-006,NODE,tracks/alpha/drivers/node,alpha,P0,W1,"TXN;EXEC;META;TYPE;ERR;RES","Close autocommit/session-schema parity, add batch/multi-result/generated-key/callable parity, complete metadata families, and harden error/resource coverage","npm test + runtime stack integration + conformance suite",OPEN
S8-007,PYTHON,tracks/alpha/drivers/python,alpha,P0,W1,"CONN;TXN;EXEC;META;TYPE;ERR;RES","Close advanced execution gaps, add executable metadata APIs, complete SQLSTATE mapping tests, and harden pool/resilience behavior","pytest full lane + runtime stack integration + conformance suite",OPEN
S8-008,PHP,tracks/alpha/drivers/php,alpha,P0,W1,"CONN;TXN;EXEC;META;TYPE;ERR","Increase live auth/txn coverage, close advanced exec parity, add first-class metadata APIs, and expand type/error fidelity tests","phpunit full lane + runtime stack integration + conformance suite",OPEN
S8-009,RUBY,tracks/alpha/drivers/ruby,alpha,P1,W2,"CONN;TXN;EXEC;META;TYPE;ERR;RES","Add live manager/TLS/SCRAM coverage, savepoint and stream-state parity, metadata APIs, broader type/error tests, and resilience lifecycle tests","ruby test suite + runtime stack integration + conformance suite",OPEN
S8-010,PASCAL,tracks/alpha/drivers/pascal,alpha,P1,W2,"CONN;TXN;EXEC;META;TYPE;RES","Implement adapter Prepare paths, expand live TXN/EXEC integration, add metadata APIs, close codec gaps, and complete keepalive/leak placeholders","pascal lane tests + runtime stack integration + conformance suite",OPEN
S8-011,MOJO,tracks/alpha/drivers/mojo,alpha,P2,W4,"TXN;EXEC;META;TYPE;ERR;RES","Upgrade scaffold parity to full conformance: non-skipped prepare/cancel defaults, savepoint parity, metadata APIs, structured errors, resilience hardening","pixi mojo lane tests + runtime stack integration + conformance suite",OPEN
S8-012,CLI,tracks/alpha/drivers/cli,alpha,P1,W3,"TXN;META;TYPE;RES","Add savepoint-focused txn_exec coverage, live metadata-family conformance, typed manifest checks, and RAII resource hardening","sbdriver_txn_exec_tests + sbdriver_metadata_shaping_tests + runtime stack integration",OPEN
S8-013,DART,tracks/beta/drivers/dart,beta,P1,W3,"TXN;EXEC;META;TYPE;ERR;RES","Add live TXN/EXEC/META integration, broaden codec tests, add typed error model, and resilience lifecycle tests","dart test full lane + runtime stack integration + conformance suite",OPEN
S8-014,SWIFT,tracks/beta/drivers/swift,beta,P1,W3,"TXN;EXEC;META;TYPE;ERR;RES","Add live handshake/TXN/EXEC integration, client-facing metadata execution APIs, broader codec tests, and typed wire-error/resilience tests","swift test full lane + runtime stack integration + conformance suite",OPEN
S8-015,R,tracks/beta/drivers/r,beta,P1,W3,"CONN;TXN;META;TYPE;ERR;RES","Add non-env-gated live auth/proxy coverage, transaction semantics validation, DBI metadata surfaces, richer type roundtrip tests, structured conditions, and resource lifecycle checks","testthat full lane + runtime stack integration + conformance suite",OPEN
S8-016,CROSS-LANE,docs/implementation_gates,shared,P0,W4,"S6;S7;conformance","Regenerate and enforce cross-lane regression gates after specialty-lane closures before promotion","refresh S6 gate report + refresh S7 promotion decisions + conformance matrix",OPEN
